distnum,distname,bloc_share,cpc_share,gpc_share,lpc_share,ndp_share,ind_share,bloc_margin,cpc_margin,gpc_margin,lpc_margin,ndp_margin,ind_margin,winner,winnershare,province
24004,Alfred-Pellan,17.8,11.3,2.0,44.5,24.0,0.4,-26.7,-33.2,-42.5,0.0,-20.5,-44.1,LPC,44.5,Quebec
24005,Argenteuil--La Petite-Nation,18.7,11.1,2.2,43.3,24.8,0.0,-24.599999999999998,-32.199999999999996,-41.099999999999994,0.0,-18.499999999999996,-43.3,LPC,43.3,Quebec
24006,Avignon--La Mitis--Matane--Matapédia,21.0,6.1,1.0,39.5,20.2,11.6,-18.5,-33.4,-38.5,0.0,-19.3,-27.9,LPC,39.5,Quebec
24007,Beauce,7.4,58.9,1.7,22.3,9.7,0.0,-51.5,0.0,-57.199999999999996,-36.599999999999994,-49.2,-58.9,CPC,58.9,Quebec
24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,19.1,33.5,1.7,26.9,18.4,0.4,-14.399999999999999,0.0,-31.8,-6.600000000000001,-15.100000000000001,-33.1,CPC,33.5,Quebec
24008,Beauport--Limoilou,14.8,30.6,2.4,25.4,25.5,0.8,-15.8,0.0,-28.200000000000003,-5.200000000000003,-5.100000000000001,-29.8,CPC,30.6,Quebec
24009,Bécancour--Nicolet--Saurel,40.0,11.4,2.3,24.3,22.1,0.0,0.0,-28.6,-37.7,-15.7,-17.9,-40.0,Bloc,40.0,Quebec
24010,Bellechasse--Les Etchemins--Lévis,11.5,50.9,3.2,20.7,13.6,0.0,-39.4,0.0,-47.699999999999996,-30.2,-37.3,-50.9,CPC,50.9,Quebec
24011,Beloeil--Chambly,27.7,9.3,2.3,29.3,31.1,0.4,-3.400000000000002,-21.8,-28.8,-1.8000000000000007,0.0,-30.700000000000003,NDP,31.1,Quebec
24012,Berthier--Maskinongé,25.8,10.2,1.6,20.3,42.2,0.0,-16.400000000000002,-32.0,-40.6,-21.900000000000002,0.0,-42.2,NDP,42.2,Quebec
24015,Bourassa,17.1,9.3,2.2,54.1,14.9,1.6,-37.0,-44.8,-51.9,0.0,-39.2,-52.5,LPC,54.1,Quebec
24016,Brome--Missisquoi,17.5,11.5,2.3,43.9,24.5,0.3,-26.4,-32.4,-41.6,0.0,-19.4,-43.6,LPC,43.9,Quebec
24017,Brossard--Saint-Lambert,10.6,12.6,1.9,50.3,24.6,0.0,-39.699999999999996,-37.699999999999996,-48.4,0.0,-25.699999999999996,-50.3,LPC,50.3,Quebec
24019,Charlesbourg--Haute-Saint-Charles,12.3,42.2,2.2,23.2,20.1,0.0,-29.900000000000002,0.0,-40.0,-19.000000000000004,-22.1,-42.2,CPC,42.2,Quebec
24021,Châteauguay--Lacolle,24.4,11.2,1.9,39.1,23.1,0.3,-14.700000000000003,-27.900000000000002,-37.2,0.0,-16.0,-38.800000000000004,LPC,39.1,Quebec
24022,Chicoutimi--Le Fjord,20.5,16.6,2.1,31.1,29.7,0.0,-10.600000000000001,-14.5,-29.0,0.0,-1.4000000000000021,-31.1,LPC,31.1,Quebec
