distnum,distname,bloc_share,cpc_share,gpc_share,lpc_share,ndp_share,ind_share,bloc_margin,cpc_margin,gpc_margin,lpc_margin,ndp_margin,ind_margin,winner,winnershare,province
10001,Avalon,0.0,31.1,5.4,46.3,17.3,0.0,-46.3,-15.199999999999996,-40.9,0.0,-28.999999999999996,-46.3,LPC,46.3,Newfoundland
10002,Bonavista--Burin--Trinity,0.0,39.5,2.9,45.7,12.0,0.0,-45.7,-6.200000000000003,-42.800000000000004,0.0,-33.7,-45.7,LPC,45.7,Newfoundland
10003,Coast of Bays--Central--Notre Dame,0.0,35.3,4.0,48.3,12.4,0.0,-48.3,-13.0,-44.3,0.0,-35.9,-48.3,LPC,48.3,Newfoundland
10004,Labrador,0.0,31.1,2.0,42.5,24.5,0.0,-42.5,-11.399999999999999,-40.5,0.0,-18.0,-42.5,LPC,42.5,Newfoundland
10005,Long Range Mountains,0.0,28.3,3.5,47.4,19.8,1.1,-47.4,-19.099999999999998,-43.9,0.0,-27.599999999999998,-46.3,LPC,47.4,Newfoundland
10006,St. John's East,0.0,18.1,1.8,33.2,46.9,0.0,-46.9,-28.799999999999997,-45.1,-13.699999999999996,0.0,-46.9,NDP,46.9,Newfoundland
10007,St. John's South--Mount Pearl,0.0,19.1,1.8,51.1,26.8,0.3,-51.1,-32.0,-49.300000000000004,0.0,-24.3,-50.800000000000004,LPC,51.1,Newfoundland
11001,Cardigan,0.0,29.0,13.8,49.3,6.7,1.1,-49.3,-20.299999999999997,-35.5,0.0,-42.599999999999994,-48.199999999999996,LPC,49.3,PEI
11002,Charlottetown,0.0,20.3,23.3,44.3,11.2,0.9,-44.3,-23.999999999999996,-20.999999999999996,0.0,-33.099999999999994,-43.4,LPC,44.3,PEI
11003,Egmont,0.0,34.4,19.8,39.7,6.1,0.0,-39.7,-5.300000000000004,-19.900000000000002,0.0,-33.6,-39.7,LPC,39.7,PEI
11004,Malpeque,0.0,25.6,26.5,41.4,6.5,0.0,-41.4,-15.799999999999997,-14.899999999999999,0.0,-34.9,-41.4,LPC,41.4,PEI
12001,Cape Breton--Canso,0.0,34.5,7.7,38.9,14.8,1.6,-38.9,-4.399999999999999,-31.2,0.0,-24.099999999999998,-37.3,LPC,38.9,Nova Scotia
12002,Central Nova,0.0,29.7,7.8,46.6,13.1,0.4,-46.6,-16.900000000000002,-38.800000000000004,0.0,-33.5,-46.2,LPC,46.6,Nova Scotia
12003,Cumberland--Colchester,0.0,35.7,13.2,36.7,12.0,1.3,-36.7,-1.0,-23.500000000000004,0.0,-24.700000000000003,-35.400000000000006,LPC,36.7,Nova Scotia
12004,Dartmouth--Cole Harbour,0.0,16.1,9.9,45.3,27.0,1.7,-45.3,-29.199999999999996,-35.4,0.0,-18.299999999999997,-43.599999999999994,LPC,45.3,Nova Scotia
12005,Halifax,0.0,11.6,14.4,42.5,30.0,1.1,-42.5,-30.9,-28.1,0.0,-12.5,-41.4,LPC,42.5,Nova Scotia
12006,Halifax West,0.0,19.3,12.1,49.5,19.2,0.0,-49.5,-30.2,-37.4,0.0,-30.3,-49.5,LPC,49.5,Nova Scotia
12007,Kings--Hants,0.0,24.8,12.6,43.3,17.2,0.2,-43.3,-18.499999999999996,-30.699999999999996,0.0,-26.099999999999998,-43.099999999999994,LPC,43.3,Nova Scotia
12008,Sackville--Preston--Chezzetcook,0.0,22.6,11.6,40.2,23.9,1.6,-40.2,-17.6,-28.6,0.0,-16.300000000000004,-38.6,LPC,40.2,Nova Scotia
12009,South Shore--St. Margarets,0.0,28.1,11.6,41.7,15.9,0.7,-41.7,-13.600000000000001,-30.1,0.0,-25.800000000000004,-41.0,LPC,41.7,Nova Scotia
